black blackness blacken	white
hunger crave starve lust	
misunderstand misinterpret misread	
recoil reduce contract shrivel cringe shrink wither quail	stretch expand
upset interference ruffle fray flutter commotion noise	
bottom penetrate bed rump stern fanny tush ass posterior keister backside butt underside behind buttocks freighter buns prat	side top
revolutionary subversive	
fix mend restore repair doctor doc	break
nose weave winded wander scent wrap twist curve blown lift wind	unwind
bacterium bacteria	
compression condensation contraction compressing	decompression
cover mantle blanket	
incline pitch side tend dispose run slope	
bung tip fee	
beat tick ticking ticktock check mark	
outfit kit	
cusp leaflet	
red scour rosy flush level even crimson sluice	
involve need ask want motive take demand	
gallon gal	
required needed requisite needful	
crying instant repetitive insistent	
glitch bug	
sum toddler add tot total bambino	
apprentice scholar learner prentice	
tumult ruckus rumpus commotion	
see find witness	
reclaim regain find recover retrieve recuperate	deteriorate
skin scramble struggle peel bark hide pelt	
analog latitude parallel twin duplicate	
skinny secretive tight confining nearest nigh near snug faithful	far distant
scope telescope	
boastful big bragging crowing braggart	
churn boil	freeze
railway railroad	
chaperone chaperon	
discredited damage damaged	undamaged
wolfram tungsten	
bobble blow testicle nut spoil muff fumble bollocks ball fluff egg	
molecule atom particle speck	
identify name keyed key describe discover	
generate mother beget return render give father yield	
moniker nickname	
bottom terminate pot rump stern dismiss lavatory fanny tush ass posterior keister john backside potty throne butt privy behind stool buttocks toilet displace buns prat seat sack	hire
wank masturbate	
wrap wrapping wind twine wrapper enclose	unwind unwrap
receive observe bump feel incur find happen chance detect get see ascertain recover discovery determine discover obtain regain	lose
tip tiptoe	
traveller traveler	
acquit expect suffer deport stand born deliver brook contain innate endure assume conduct yield behave bear hold birth carry digest pay	unborn
preferred preferable	
receive mother aim generate puzzle incur come start become find suffer cause develop father arrive get sustain sire beget vex fetch draw convey induce catch make stick beat acquire begin commence fix obtain grow scram pose	leave end
invest sitting sit seated	standing
saint backer angel	
phoebe fin quint five	
senseless extra wasted spare redundant superfluous pointless	
conglomerate empire	
endanger stake jeopardise hazard peril venture adventure menace	
reap harvest glean	
professor raise establish rise testify prof evidence demonstrate prove show essay	disprove
patrol police	
castaway outcast pariah	
do run execute fulfill accomplish fulfil	
bone os	
leave lead answer termination upshot effect solution ensue event outcome resolution	
envision see figure visualize picture plan visualise projection design fancy throw undertaking cast labor	
design plan designed intentional	
ladder run ravel	
inspire instigate incite prompt	
feel fingering finger thumb	
yogurt yoghurt	
die stifle fret gag perish go expire throttle suffocate croak foul clog exit	
sure rely hope bank trust swear desire entrust commit	mistrust
blacken black	
compact covenant	
fudge manipulate control falsify fake cook	
sound reasoned profound legal healthy sounder intelligent	unsound
assignment naming engagement designation appointment fitting	
accountancy calculate account report accounting	
gunny burlap	
write save compose publish pen	
wholly completely whole totally entirely altogether	partly
mammoth gigantic	
cardinal carmine	
sayonara adios cheerio goodbye adieu bye	
readiness ardor zeal eagerness	
sum number come quantity measure total	
overlay cover	
prophesy preach	
manipulator hustler operator	
creed gospel	
greenhorn lad rookie sonny cub	
deal like handle caring manage worry	
poll pate canvas canvass crown	
tranquillity hushed silence lull quiet placid repose serenity hush quieten still muted tranquil smooth	active sound noisy
locating position fix positioning placement locate place site	
shaving shave plane trim	
craze madden	
te si titanium ti	
smother stifle gag suffocate choke	
mumble murmur muttering murmuring croak grumble	
vending hawk pitch hawking peddling monger	
bubbly champagne	
order suppose state read articulate tell expression aver	
zest spice	
extremity appendage member	
crumple fall topple collapse spill tip twig crumble	
slide slip skid shoe	
garner collect amass meet pucker gathering assemble conglomerate tuck gain	spread
tabernacle temple synagogue	
graph chart	
giant gargantuan jumbo	
hypnotized fascinated fascinate spellbound mesmerized grip	
exclaim shout cry outcry yell	
stake endangerment hazard peril guess fortune adventure chance risk pretend luck	
writer author	
perpetrator culprit	
counsel counselor urge advocate counsellor preach	
mag magazine	
exercising exercise workout	
summerhouse gazebo	
synthetic celluloid	
invariably constantly always	
nix prevent forbid foreclose preclude prohibit	allow permit
allegiance dedication loyalty commitment	disloyalty
last finally lastly	
keen deplore lament lamented	
feel sensing detection sense perception	
speculative risky wild bad	
fudge ducking dodge dip hedge duck evade elude skirt parry	
anatomy soma figure flesh physique chassis shape frame	
passable adequate tolerable	intolerable
whiff sniff sniffle	
see wake viewing screening consider regard showing view	
chimp chimpanzee	
coon nigger spade nigga	
flicker riff flick ruffle snap leaf jerk flip	
hunt hound trace	
silence quiet secrecy still hush	sound
engineer prepare mastermind coordinate orchestrate devise organize organise	
buggy break cracked check snap bats loony daft barmy collapse crackers balmy fruity loopy loco crack kooky batty	
chastise correct	
conserve hold assert maintain uphold observe defend preserve wield	
lead behavior demeanour behave acquit bear behaviour channel deal transmit doings carry deport conduct demeanor	
appeasement calming	
dodo fossil	
shit shite ninny dope turd stern dirt tail poop	
swede rutabaga	
spud potato murphy tater	
oath nemesis hex condemnation curse whammy torment scourge bane swearing damn	bless communicate
retrieval recovery	
sentinel scout sentry guide lookout spotter	
diaper napkin nappy	
deportation transportation exile	
poof fagot pansy faggot sissy fag queen fairy	
aerial antenna	
effigy image	
immense huge vast	
bring dally trifle recreate run fiddle work represent act bet wager encounter played toy flirt	
larceny thievery slip thieving theft stealing	
diversify glow ray beam radiate	
toad frog	
jingling jangle jingle	
ding batter dong	
beat attack snipe rung rhythm bout around polish assault stave cycle circle	square
receive welcome	
explore research search	
companionship fellowship company society	
tingle tingling chill shudder quiver shiver	
crumple heave clasp buckle	
midst thick	
native aboriginal	
tactics tactic manoeuvre maneuver	
balance poised poise brace	
moist damp damper muffler	
bedroom chamber	
bury inter forget swallow sink	remember
loathing abomination	
romp frolic frisk skylark sport	
obedience respect	disobedience
stripes stripe chevron	
intensify compound heighten deepen	
freeze deflect jam closure forget pulley stuff obstruct blockage lug parry bar embarrass cube blocking stop	unblock unfreeze remember
trace draw line lined	
preclude prevent foreclose forbid	
elected elective	
rap beg tap videotape knock tape tip exploit bug pink record	erase
skip vamoose	
richness fullness	emptiness
aberration straining distortion torture	
archaeologist archeologist	
recoil ricochet limit leap confine restrict bound edge boundary throttle jump leaping restrain	
exercise practice drill bore practise	
poof fagot pansy faggot fag queen fairy	
intestine bowel gut	
labour push labored laboured toil grind fag strained drive heavy	
burst detonate explode	implode
expanse arena country region domain field area	
magnanimous large big	
truce armistice	
jittery edgy jumpy uptight	
overactive hyperactive	
disband dissolve	
kindly sympathetic benevolent charitable	
ex outmoded passe gaffer	
operative shamus sherlock	
benefit gain profit	lose
force coerce squeeze hale	
recoil ricochet backlash quail bounce bound cringe spring rebound kick shrink	
climax coming orgasm	
flux fuse meld incorporated merged combine unify merge incorporate mix integrated	
spicy savory savoury	unsavory
raise conjure elicit evoke provoke extract invoke kindle suggest	
obit obituary	
refresh freshen	tire
dazzle stunned groggy foggy stun daze	
corrie cirque	
student pupil	
morose moody glum dark temperamental sullen	
tart prostitute whore harlot	
wet moisture	dry
blood origin bloodline pedigree stock descent lineage	
spaced separated space	
windy tedious wordy	
bear paying give paid pay devote	default
shift transmutation transformation translation	
jail imprison lag jug	
haji hajji	
horror revulsion repulsion	
sexy aphrodisiac	
announcement proclamation declaration	
air ambience atm ambiance atmosphere	
fit turmoil upheaval	
crook twisting twirl worm pervert device plait writhe twist curve spin rick twine wriggle wrench wind gimmick construction wrestle eddy whirl braid	
thorn spine spur sticker backbone	
pucker rumple knitted knit	
discourage warn	
shaky shaking quiver quivering shivering vibration	
ghostly spectral spiritual	
administer dispense deal disperse broadcast stagger diffuse circulate propagate allot	gather
drag cart hale haul	
souvenir memento	
mike microphone	
phosphorus p	
artwork prowess art artistry	
shell face instance character eccentric pillowcase sheath subject lawsuit case slip cause font event	
certification hallmark authentication	
appointment accommodation adjustment fitting	
watchman watcher	
staunch steadfast unshakable firm unwavering steady	
office use part character purpose persona	
inhibition prohibition suppression	
lad feller fella sonny cub fellow laddie chap	
restore reestablish reinstate	
operate interlock engage lock	disengage unlock
film celluloid cinema	
cheat deceiver slicker trickster	
apply implement enforce impose	exempt
comprise contain incorporated merged incorporate integrate	disintegrate
bath bathtub tub	
lick swoosh wash swish	
intent intention aim design purpose	
pearl os cram ivory bone	
credence adoption acceptance	rejection
engraved etched inscribed grave scratch engrave	
computer calculator	
icky funky lousy stinky crappy stinking reek smelly shitty	
substantially well considerably	
cristal ecstasy go	
labour push lug labor jerk drive tug tugboat	
slingshot catapult launcher sling	
fudge dodge scheme hedge evade duck elude dodging skirt	
behemoth titan heavyweight colossus	
politeness civility	
dead absolutely perfectly utterly	
purple lofty proud royal majestic gallant olympian	
suckle harbor hold breastfeed nurse suck entertain	
trip stumble misstep	
sequel continuation	
season flavor harden temper veteran flavour	
grit sense guts sand moxie backbone	
excitement turmoil upheaval agitation inflammation exhilaration fervour	
gallantry chivalry	
cart pull tangle haul puff drag draw hale trail	
quarrel haggling brawl wrangling wrangle row	
loose wanton free light lax slack easy open escaped promiscuous	tight compact
listener auditor	
hell blazing glare brilliance	
cupboard closet	
imbecile retard cretin changeling moron	
neighbour adjacent neighboring neighbor	
murmur muttering murmuring croak grumble grumbling	
tolerate allow permit countenance	prevent forbid
outlaw crook criminal felon	legalize
argument parameter	
invasion intrusion	
withdraw bury swallow accept	
shift shimmy teddy slip	
motor drive motoring	
stitch stitching sewing sew	
have sport feature featured	lack
instability imbalance	balance stability
interrogate inquisitive wondering questioning skeptical query doubting inquiring interview wonder	
wake kindled ignite light heat inflame	extinguish
fire fuel	
margarine marge	
do practised skillful rehearse use proficient apply skilful commit exercise practice adept practiced	
paladin hoagie grinder hero sub bomber torpedo submarine	
support confirmed confirm affirm corroborate substantiate	unconfirmed negate
sexless castrate neuter alter	masculine
estranged alien disoriented alienate	
prosperous golden lucky favorable	
fondly lovingly	
repressing repressive	
accelerate quicken speed	
compress contract compact squeeze	decompress
importing spell import	export
involvement participation engagement	
ransacking rummage	
cooler tank	
program platform	
gun hitman shooter accelerator gunman gunslinger gas throttle	
involve need needful expect ask compulsory want take demand requisite mandatory	
counter anticipate return comeback antagonistic sideboard replication parry	
cut delete edit	
bordello whorehouse cathouse brothel	
kt karat carat	
delay holdup stickup heist	
horn tusk horned	
substantiate incarnate embody be	
tricky crafty cute slick foxy guile wily craft ingenious dodgy	
deputy lieutenant	
juggernaut steamroller	
decide regulate learn find check influence see compulsive ascertain set determined define determine limit driven fix	undetermined
burden sum core centre center heart meat gist kernel substance nub	
thirdly third	
tick set grade pit marking commemorate differentiate brand tag grading denounce scar check marker notice	ignore
wreak bring work play	
trace discover name report account draw key distinguish depict	
fiddle monkey putter tinker	
present nowadays now today	
dare presume assume	
skill science	
detail contingent	
simultaneous coincidental	
send ship transport embark	disembark
brand blade vane sword	
r radius	
make realise see recognize recognise clear earn gain	
pollute foul contaminate	
barrel cram beat bone	
decide see ascertain deciding set limit regulate settle fix learn specify find determining define check	
cub laddie lad sonny	
triumph victory	defeat
imbecile retard cretin changeling moron	
nerd dweeb grind	
sear scorch singe	
posture stick beat set put puzzle vex position gravel model sit place impersonate present	
stripe run streak bar	
reception acknowledge receipt	
gazillion zillion million trillion	
buy bribe bargain purchase corrupt	sell
sufferer martyr	
stockpile sprout stock stocking	
distant upstage aloof	
silver fluent eloquent silvery	
portrayal portraying depicting picture	
scrabble scribble	
contribution constituent break start component portion partly partially piece parting split role character share depart divide separate function office	wholly
lovemaking love	
condemnation doom sentence conviction condemn	acquittal
exploitation using development	
cheery festive jolly brave sunny gay jovial	
spot darn piece plot mend fleck while patch	
celebrated renowned observe notable keep illustrious famous noted	
late old former previous	
fertiliser fertilizer	
steadfast bulletproof unshakable firm unwavering watertight	
stupendous colossal prodigious exceeding exceptional	
informed inform	uninformed
midday noon	
compare comparison equate	
come arrive get	leave
confuse ado bustle flurry hustle fuss	
roadside wayside	
assignment naming engagement designation appointment fitting	
dot superman drug pane dose acid	
sovereign monarch	
obstinate stubborn	docile
parcel share bundle packet portion package	
encampment bivouac camp pack tent	
tyke barbarian boor peasant	
alibi pardon relieve exempt apologize justify excuse apologise rationalize	
subvert abuse pervert twist misuse corrupt	
outrage dirt scandal	
normally commonly usually ordinarily	remarkably
riverside riverbank	
nag scold plug jade peck	
largely mostly	
begrudge resent	wish
apply implement enforce	exempt
cycle bike wheel bicycle	
enchant hex witch fascinate bewitching enchanting fascinating trance capture glamour jinx	
wire wiring cable telegraph	
leave bequeath testament will	
change alteration revision adjustment	
disregard deduction ignore dismiss rebate	
borrow adopt	lend
grave earnest sincere solemn sedate	
supplementary subsidiary supplemental auxiliary	
feigning guise pretence pretext pretense pretending	
storey story floor level	
doubling replicate twice treble forked dual double doubly repeat	single
write spell import	
wording phrasing diction	
gleam glow radiance gleaming freshness beam burn radiate	
mash crush squash squelch	
shrivel withers fade shrink	
cobalt cos	
impropriety indecency	decency
attempt essay prove examine try test	
administer dispense deal allot distribute	
agenda schedule docket	
thrust lunge throw hurl	
grounder hopper	
position lieu stead place	
moment upshot effect aftermath event outcome import consequence	
make feigning profess pretence hazard pretense act guess pretending pretend affect	
dot dit	
voltage emf	
he helium	
bra brassiere	
shift shimmy tilt wobble	
fruitcake crackpot nut crazy crank	
partisan zealot enthusiast	
whisky whiskey	
poise chill cool	heat
beg woo tap court romance solicit	
loafer bum	
rattlesnake rattler	
patriot nationalist	
past preceding bed withdraw retreat reticent adjourn unassuming	advance
make realise garner clear earn gain	
pit target quarry prey	
sun sunbathe sunlight sunshine	
stove stave range	
specify specialise specialize differentiate specialized specialised	diversify
undue exuberant excessive extravagant	
cissy sissy effeminate	
alone only exclusively entirely	
respite hiatus suspension reprieve	
insulting contemptuous	
industry manufacture diligence	
secret tube subway resistance metro underground	
check bridle curb	
force coerce ram power personnel pressure push pull thrust effect draw hale violence	push pull
recoil ricochet leap bound jump spring rebound	
potential likely probable probably	improbable unlikely
suffer misplace miss lose	win keep find gain
shorts boxer drawers packer bagger	
comfortably well	uncomfortably
pap nipple tit teat	
swag stagger spool lurch spin reel	
nurture raise rear parent	child
trade barter switch swap	
scraping itch scratching cancel fray fret excise grave scrub scratch scrape	
fell disappear vaporize vanish	appear
misdirection distraction	
fumble grope	
rouge key paint pigment	
wham wallop licking whacking beating whack	
tat sleaze	
dreamer idealist	
swirl twirl whirl twiddle	
utter express mouth talk emit	
pacer pacemaker	
sneaker snitch scab canary confess sneak rat	
holdup stickup heist	
swordplay play	
short light stint scant	
skim skip vamoose skitter hop jump	
snorkeling snorkel	
apologize free justify excuse apologise rationalize	blame
do answer dish service help process serve suffice	
loot lolly scraping sugar scratching start shekels clams excise strike engrave prick bread slit incision cabbage moolah fray dinero lettuce scrape rub dent abrasion dough	
exactly precisely just	
present face confront	avoid
materialistic bourgeois conservative	
revel revelry	
receive suffer cause get sustain ingest deliver consume give induce make bear hold birth accept feature stimulate own	refuse lack abstain
betrayer squealer rat blabber	
newsman reporter	
nitwit doofus dimwit	
banality cliche commonplace bromide	
limb branch arm	
puff ottoman	
heighten raise enhance enhanced	
shame pity dishonor disgrace	honor
basketball hoops	
criterion banner standard stock touchstone measure	
deputy lieutenant surrogate	
ejection riddance elimination expulsion	
five v	
decadence degeneration	
buddy brother pal sidekick	
bias slash sloping stroke slanted	
reference cite	
ranking order range rate superior place grade	
stag snoop spy snooper	
chieftain captain master skipper	
frustrate thwart cross scotch foil spoil	
hover thrill resonate vibrate	
alimony maintenance	
tumor tumour	
qualification booking reservation reserve	
reconstruct redo recast remodel	
culture refinement civilization civilisation polish cultivation	
address terminus destination finish	
raunchy obscene lewd grimy dingy grubby	
upright good erect vertical	
loot lolly cabbage sugar moolah dough shekels clams dinero lettuce	
jet greens commons green common	
hitch flick twitch buck jerking jerk jerky	
tamer tame tamed meek	wild
con swindle defraud rook diddle gyp	
rout origin ancestor theme base solution source beginning ascendant root	descendant
reveal baring expose find uncover discovery unveil	cover
braid lace plait twist	
witch hex curse whammy enchant jinx	
honor repay rewarding reward reinforce	dishonor
discomfort irritation	comfort
dress attack snipe snip crop clip nip assault prune	
minute hour hours hr	
good goodness	badness evil bad
ii deuce two	
telling vocalizing talk babble tattle blab sear singing sing peach	
tenor strain	
dexterity sleight	
avail helping help aid serve facilitate portion	
leaders leader leadership	follower
echo return withdraw remember recall retrieve	forget issue
identify name key place describe discover	
cut castrate emasculated	
auction auctioneer	
manner path way room ways agency style means	
skillful proficient skilful technical practiced adept	
frustrate tormented torment anguished crucify tortured rag torture	
sayonara adios cheerio goodbye adieu bye	
grandpa granddad gramps grandad granddaddy	
maize corn	
oblige obligated hold compel	
chile chilli chilly chili	
feed flow run course feast prey give	starve
woof option cream selection cull nibble picking foot blame pluck piece pick filling	
copy imitate simulate	
lunatic madman maniac	
insulate isolate	
return counter comeback retort	
bookie bookmaker	
sweetheart smasher dish stunner bag lulu knockout serve looker	
dub nickname	
skill acquisition achievement accomplishment	
bear brook tolerate suffer endure digest concentrate stomach stand	
unhappily sadly woefully	happily
beat stick puzzle confusing vex gravel enigmatic perplexing puzzling	
phony pretender bastard hypocrite fake phoney	
sleepless insomniac watchful alert	
finesse diplomacy delicacy	
table defer postpone remit	
crest cap	
storey dump deck base flooring floor level	
whip blister	
deary darling favourite pet dearie favorite	
aim aspire	
hoy barge lighter	
drug dosed dose	
gel mousse	
makeshift improvised improvise	
misdemeanor intrusion assault violation rape trespass	
forte speciality specialty strength	
voting suffrage ballot vote	
woodland timber forest	
return counter comeback retort	
sashay outing junket excursion jaunt	
coke century blow hundred c snow	
prospect candidate nominee	
frozen cold arctic icy polar glacial	
bizarre eccentric gonzo outlandish freaky freakish	
drench flood swamp deluge	
opening possibility theory hypothesis	impossibility
jar jerk shock jolt	
recall callback	
specify specialize specialise minute contract	wide diversify widen
mayhem havoc	
cruel vicious barbarous fell savage	
complex composite	simple
demonstrate demo show present demonstration	
original master archetype pilot	
fireman stoker firefighter	
snack nosh bite	
variety sorting sort classify screen separate sieve class	
whelp pup puppy	
penance repentance	
chitchat jaw chattering chatter visit blab tattle gossip blabber	
extinguished annihilate quench extinguish eradicate decimate	ignite
stick beat rile annoy puzzle gravel vex amaze rag nettle bother	
fierce boisterous approximate harsh bumpy scratchy rocky rough uncut crude	cut smooth
compete vie contend	
bed know screw fuck hump bonk love bang	
showman promoter	
order mark course tier rate range grad rank level place degree	
savage feral	
idiom dialect accent	
slop splash spill spatter dabbled splatter	
banister bannister	
convince convinced confident convert	
step footstep pace stride	
congenital innate natural born	conditioned
sparkle trip activate trigger	
receive observe bump feel incur find happen chance detect ground get see ascertain constitute found recover determine discover launch obtain regain plant	abolish lost lose
hurt injury trauma harm	
exclaiming exclamation	
departure release expiration passing leaving deviation going loss	
increase growth gain addition	decrease
sledge maul mangle sledgehammer	
scabies itch	
cell cubicle cellphone cadre	
stare regard gaze	
harbour harbor haven seaport	
incline tend run lean tilt tip list	
bar obstruct block hinder barricade embarrass	
updating update	
calamari squid	
concluded displace terminate can over terminated complete sack end ended dismiss	hire begin
fascinate grapple grip	
snatch shot picnic rupture flick snap cinch breeze photograph tear snarl bust shoot cracking pushover	
panic scare terror	
skin quarrel trash scraping junk scratching grate dispute	
smack taste bask enjoy savour relish savor nip	
carsick seasick	
shrill piping pipe shriek	
veg veggie vegetable	
auction auctioneer	
soaring eminent lofty high	
netting gauze	
chief foreman boss honcho gaffer head	
quake shudder tremor	
limit set fix specify define	
betray delude deceive	
current stream flow	
fell drop vanish fly	
liter litre l	
broach start originate initiate pundit pioneer enlightened novice	
grouping radical group	
force stick lodge wedged impacted deposit	dislodge
hedgehog porcupine	
goody dainty treat delicacy	
proceed move continue keep	discontinue
break jailbreak breakout	
repute esteem	
cod pod	
icky lousy stinky crappy stinking shitty	
skepticism disbelief	belief
cheep tweedle chirp peep	
attain make realise acquire profit realize advance derive addition increase win benefit hit	lose reduce loss
plaza mall piazza place	
supervise manage oversee	
wow screeching shout screaming riot cry scream shriek holler screech shrieking	
drill eager caliber gauge calibre tire	interest
return repay repayment refund	
jack labourer laborer	
dear deary darling favourite pet dearie favorite	
envoy emissary	
generate mother beget father get	
romp frolic frisk caper play skylark	
smack thwack	
rough uncut	trimmed cut
romp frolic frisk skylark sport	
puzzle deposit projecting get protruding lodge vex adhere stay stick beat sticking bond relieved pose sting amaze	move dislodge
disappear evaporate disappearing melt disappearance	appearance appear
severe terrible grievous stark hard austere grave knockout stern spartan	
swerve yaw yawn gape	
vigor vigour energy zip	
service servicing serve	
departure release die expiration passing choke perish go expire outlet croak going conk	enter
puke git informer denounce stag betrayer shit squealer fink snitch stinker betray shop lowlife scab rotter	
derby bowler	
failure bankruptcy	
venue locale locus	
quicken renovate revive repair recreate	
liven animate	
congress intercourse dealings relative telling relation relations	
blast clamor beep blare honk blaring toot	
agree rival match couple meet pit equal touch equate mate check fit pair oppose matching	disagree
tragedy catastrophe cataclysm disaster	
lamia vampire	
mound pitcher knoll hill pile hammock	
prefer favor privilege favour	
accumulated collect amass compile conglomerate gather	
testify prove evidence show	
logical lucid tenacious coherent ordered	incoherent
amused divert deviate diverted amuse	
food nutrient	
alignment alliance coalition fusion	
wad jaw plug quid chewing	
blinding glaring dim blind dazzling	
reconcile bow resign state subject defer render take	
bulge pocket sacking bag	
vicinity neighbourhood locality neighborhood	
goad needle	
implore tap solicit pray	
terrific tremendous wondrous grand marvelous marvellous lofty imposing heroic howling sublime gilded elevated deluxe princely fantastic rattling expansive august	
smack taste bask enjoy savour relish savor nip	
experiment experimentation	
crybaby chicken wimp yellow	
pitiable miserable inadequate poor pitiful short hapless	rich
artificial formulate plan forge contrived invent design cast devise	
infect taint	disinfect
truly genuinely really	
sediment stick depository lodge repository fix deposition bank	withdraw dislodge
agency representation theatrical	
junket feast banquet spread	
exclaim shout weep cry scream holler outcry yell	laugh
turtleneck turtle	
tux tuxedo	
transcendence superiority	inferiority
spot blip whip worst hit shoot	
pally chummy matey	
parental maternal paternal	filial paternal
vein vena	
register book disk read enter commemorate disc tape	erase
waver weave wander tissue wind woven	
breakaway separatist	
attain reveal see identify strike observe disclose describe name break learn expose find key distinguish	
dwarf shadow dominate eclipse	
interrogate doubt interrogation wonder enquiry query motion interview	answer
distraught overwrought	
false mistake misguided slip mistaken	
listen mind regard heed	
functioning performance operation execution	
present portray depict impersonate	
afresh anew	
ineffective ineffectual unable	able
insult affront diss	
canasta meld	
battle combat	
gristle cartilage	
passage transit transportation	
experiment experimentation	
stay roost pillow breathe remain repose perch lie	change
drinking salute booze toast boozing drink beverage drunkenness	
have own possess	
slow retard slack	accelerate
apologize free justify excuse apologise justified rationalize	blame
bag sac scoop pouch sack	
erase delete	record
eccentric type case character	
hire utilize use engage apply employment	fire unemployment
exaggerate magnify expand inflate	
swirl twirl whirl twiddle	
see envision figure visualize visualise fancy image	
navigation sailing piloting	
policeman officer	
reunion reunification	
blood origin thoroughbred bloodline pedigree stock descent lineage	
monkey tinker putter thrower	
minuscule low little minor modest diminished humble lowly	large big
jostle shove	
fabled legendary	
attain move smasher rap fall smash impress tap assume excise take mint affect hit bang	miss
vacate desolate abandon empty forsake desert	
nudity desolation openness nakedness	closeness
tough subtle problematic elusive	
blot smudge spot slur dim blur	focus
establish attest evidence march certify demonstrate prove demo show	disprove
definitive classical classic authoritative	
comprise live exist constitute equal represent be cost	differ
tattletale telltale blabbermouth	
belittle diminish minimize diminished small	flatter
hitch buck charge tear jerk	
prefer favor privilege favour	
earlier originally	
procure ponce pimp indulge	
cake coat patty bar	
uproot exterminate eradicate	
mountain raft deal pot peck troop plenty sight lot flock mint stack slew fold wad batch mass	
pusher thruster	
disgraced dishonour dishonored shame dishonor outrage ravish disgrace assault shamed	honor
gallon gal	
dress garnish trim	
circle carousel rotary devious	
raise acquire farm produce rise grow turn originate mature	
constant ceaseless incessant perpetual	
apologize free justify excuse apologise rationalize	blame
extraterrestrial alien	
assign attribute designate assigning delegate put assignment specify	
winding twisting twisty	
muzzy foggy blurred fuzzy hazy misty	
whip shriek worst pipe hit shoot	
tricky slippery	
bigwig kingpin	
procure batten secure fix guarantee plug insure ensure	
intimately closely well nearly	
disgraced dishonour dishonored shame dishonor assume disgrace shamed pretend affect guilty	honor
intellectual intellect	
activist militant	
mare maria	
ponce pimp procure pander	
picnic snap cinch breeze pushover	
knowledgeable versed learned knowing	
engage payoff wages reward wage remuneration earnings pay	
move unnatural involve impress stirred touch regard affected touched pretend affect moved	unaffected unmoved
uptake ingestion consumption intake	
pit scarred mark scar	
link united joined connect combine unify merge	divide divided
smother stifle stifling repress suppression crushing dampen suffocate	stimulate
hunger crave starve lust	feed
reverse rescind sneak revoke swipe hoist hook raise cabbage rise airlift vacate rustle annul lifted wind arise overturn	lower fall
settlement colonization	
con swindle memorize learn hustle inmate convict rook defraud scam diddle	pro
probe investigation investigating	
eccentric oddball flake geek	
cure mend heal	
mixture variety pied vary sundry assortment potpourri motley miscellaneous assorted painted	
leading stellar asterisk prima star	
spit knife tongue clapper	
mop mope pout mow	
approximate caliber guess gauge estimate judge calibre	
decapitated behead decapitate beheaded	
postman mailman carrier	
seaboard seaside	
heater smoke grass pot weed bullet fume skunk fastball dope	
smother stifle jumble repress suffocate surround muddle	
displace terminate sack tin dismiss can	hire
set correct align adjusted conform adapt	
heroic epic	
broken destitute impoverished deprive indigent	enrich
lecture jaw scold talk lecturing rag chide berate	
stud centre center pore concentrate rivet	
hall hallway	
inferno hellhole hell	
interpret see understand read render represent interpreted	
sustenance maintenance care upkeep	
tramp hobo bum	
saboteur wrecker	
melody air line strain	
canvas rag sheet tabloid plane canvass sail	
drainage drain	
link affiliate companion connect consort fellow associate comrade	
quicken renovate cheer revive play repair	
aspiring wishful	
planet satellite	
relish nip tang zest gusto	
snatch twat fathead goofball goose slit goof cuckoo pussy cunt puss	
covert concealment shield sort blind cover screen riddle	
jump start startling startle	
gargle rinse wash	
negative shun banish ban	
semi rig semifinal	
ache hurt smartness smart	
leak escape leakage wetting	
rise coat surface open	
billy wand baton	
bunk nonsensical nonsense	
shift shimmy slip wobble	
envision see figure visualize protruding sticking plan visualise fancy design throw relieved projected projecting cast	
wane waning wan decline	wax waxing
maths math mathematics	
occupy overrun invade	
snog kiss	
clink chink pokey jailhouse jail tink slammer	
protect saved protected	unprotected
fly archetype pilot buffer navigate original	
implore pray beg	
verse rhyme	
staircase stairway	
overture antenna advance approach	
desktop backdrop background scope setting	foreground
eggshell shell blast beat husk scale shield vanquish case	
man opus part bit piece spell pick assemble while patch slice	disassemble
hack whoop	
smack preference penchant tasting savour mouthful savor sample	
float bobble blow boast suck waste gas spoil squander muff fumble drift bollocks tout fluff	conserve
prof professor	
utmost extreme	
whipping slaughter fiasco debacle	
person somebody someone individual deadly mortal	immortal
crunch munch	
tail curtsy bob dock	
reduce centre center pore concentrate digest condense rivet	
prick slit scratch dent section	
pearly chopper	
acquit expect suffer deport stand deliver brook contain endure assume conduct yield behave bear hold birth carry digest pay	bull
do playing performing execute acting	
abiding stay bear brook tolerate suffer endure digest stomach enduring bide	
inbound inward inwards in	outward
grasp delve jab excavation shot slam digging toil stab fag excavate shaft prod compass labor apprehend savvy comprehend	
hire lease charter engage take employ	fire
confine stay detain delay	rush free
suitable worthy desirable	undesirable
hardheaded pragmatic virtual practical	impractical
appetizer dispatcher fledgling newcomer starter freshman	
engineer mastermind orchestrate organize organise	
promptly readily pronto	
rival contender competitor competition	
bleeding haemorrhage hemorrhage	
aim aspire	
spark twinkle light sparkle sparkling blink flash	
switch swap trade	
horrible frightful ugly atrocious	
compare comparison equate	
putz dick bill peter cock tool woodpecker neb shaft	
tense extend strain sieve puree melody breed air filter sift pains try form song reach striving stress line	relax
delectable luscious scrumptious yummy	
wham whack wallop	
gloss semblance color colour illusion	
lard pad embellish embroider	
capability capacity	
navel bellybutton	
housemaid maiden maid	
intro presentation introduction	
picture pic exposure photograph	
store snitch sponsor grass browse workshop shit denounce stag frequent betray	boycott
flange brim lip rim	
