black blackness blacken	white
mediate intermediate average intercede medium	terminal
hippy hippie hipster	
sagging drooping droopy	
bear haggard drawn wear break don endure fag	refresh new
speck tinge touch pinch mite hint jot	
adopt embrace bosom embracing cover hug squeeze comprehend	
portraying portray portrayal depicting depict impersonate present depiction	
withdrawal detachment	
glob lump chunk ball clod clump	
preferably sooner rather	
person somebody someone individual mortal soul	
flexible compromising compromise	uncompromising
brute savage wildcat wolf beast	
chivalrous gallant	
coach manager director handler	
fancy fantasize fantasy illusion	
trip activate trigger spark	
pound hammer forge pounding hammering	
funnily oddly strangely	
descend fall come derive condescend settle	rise ascend
launder wash	
groovy smashing keen bully neat peachy sheik fop swell cracking	
collarbone clavicle	
house mob fellowship sept household home class family kin syndicate	
tyke baby minor nipper fry youngster kid shaver child	parent
doze snooze	
obstruct block humiliated hinder embarrass mortified embarrassed blockade	
lifeguard lifesaver	
befitting suit	
function mapping represent map	
banger cracker firecracker	
point grade stage level degree	
positive irrefutable incontrovertible	
wad batch spate mountain clutch flock raft deal heap pot	
molded regulate forge work model cast influence mildew mould shape	
press conjure raise conjuring evoke beseech conspire invoke cabal arouse	
tingle shaking beat chill shudder flicker waver quiver shiver quivering	
sharpness butt abut bound boundary inch edge march border	
collaborate cooperate	
descend lessen fall precipitate return come light	rise ascend increase
stamp stump stomp	
administration governance organization presidency government brass governing disposal organisation establishment	
loot plundering strip foray sack spoil pillaging pillage ransack rifle	
pig farrow	
peek glint glimpse glance	
fax facsimile	
tubby squat pudgy dumpy chunky stumpy	
intent intention purpose aim design	
want trust desire hope	
bunk guff hogwash rotting rot decompose decomposition waste	
label tag mark judge pronounce	
realise see interpret infer empathize read sympathize sympathise translate understand	
part depart break start divide split separate parted	
posture seat website model ride sit site locate	arise stand
dirty raunchy grim drab dismal muddy grimy blue dingy sorry	
shaving shave plane trim	
engineer mastermind engineering technology orchestrate organize organise direct	
pyjama pajama jammies	
stuff block hooey clobber farce lug material thrust shove binge	
recoil ricochet fountain leap bound give springtime leaping spring outpouring	
feast sashay outing junket banquet excursion jaunt expedition	
churn simmering boiling stewing boil	freeze
skeleton frame	
ranch spread	
reveal discontinue bump smash break soften	make repair keep promote
bath bathtub tub	
change qualify modify alter	
aegis shelter tribute security protection	
wicked sinful unholy ungodly extraordinary	
overwork tap used work exploited victimized exploit	
premier autopsy postmortem	
atypical irregular	typical
sot inebriated salute booze toast intoxicated drink drunkard rummy	sober
cristal ecstasy go	
defenseless defenceless	
manner way manners style mode fashion	
properly decently decent right	improperly
hotdog wiener dog frank weenie	
ward guard	
slaver dribble drivel slobber tosh baloney humbug drool bosh	
cruise sail	
crumple wrinkled wrinkly crease crisp furrow purse wrinkle rumple	ironed
discouraging discourage warn deter	encourage encouraging
pontiff pope	
tyke barbarian boor peasant	
panorama prospect scene vista view aspect chance prognosis candidate outlook	
torment torturing torturous agonizing rack torture excruciating harrowing	
seep oozing seeping ooze	
medicate medication music medicine	
cell cellphone	
guide usher show	
hazelnut hazel	
eyebrow brow hilltop forehead	
malaise uneasiness unease	
conversion transition passage	
spout jet forge spurt gush squirt	
wage engage wag	
prick bite sting burn	
berth spot office send billet position station carry brand post	
copy imitate simulate	
talk babble tattle blab sing peach whistle	
mount rise wax climb full waxed	wane
pagan heathen infidel gentile	
wake ignite heat inflame het heated	cool
threshold doorway door	
exaggerate magnify expand inflate amplify	
bowman archer	
shaking vibe quiver quivering vibration trembling	
watery feeble weak light rickety decrepit imperfect infirm frail	strong
department section	
lean incline run tend	
dealer trader principal monger	
laden ladle	
nix prohibited forbidden prevent forbid foreclose taboo preclude	allow permit
nix nada vigor vigour speed cypher zilch zero zipper	unzip
sex gender sexuality	
vacate empty abandon evacuate discharge void	fill
barb nipping biting prickly barbed thorny pungent spiny	
hitter slugger batter batsman striker	
estimation assessment estimate appraisal	
sickness nausea	
refreshing restorative bracing pop soda keynote tonic fresh brisk	
communist commie	
softy softie	
attain move fall impress struck smitten assume excise take	miss
aim charter adopt exact deal study learn	give refuse abstain
ploy gambit stratagem	
acquit aim expect suffer charge deport stand deliver brook contain	
juncture joint conjunction junction join	
cutting stabbing keen stab jab knife piercing prod wounding dig	
trap bunker dugout	
quarrel course wrangle row rowing words	
practise exercise practice drilling drill bore boring	
props property prop shore	
berm shoulder	
inside indoors	outside outdoors
honey dear near costly darling devout earnest heartfelt love pricey	
skepticism disbelief	
pertain concern touch refer relate	
persist tend feed flow hunt execute extend play	malfunction idle
r radius	
channel send familial air transport hereditary transmitted genetic broadcast transmit	
contender contention rival challenger competitor contest competition rivalry	cooperation
greet recognize recognise	
aim charter adopt exact deal study learn	give refuse abstain
lamb dear	
lead top pinch transcend exceed topping overstep pass crown clear	
alien exotic	
begrudge resent	wish
impulsive hotheaded impetuous madcap	
rejoicing victorious triumphal triumphant prideful	
wrong wrongly incorrectly	correctly right
jumper sweater	
aeroplane plane airplane	
warp buckle warped heave falsify distort	
dealer trader pitch hawk monger peddle	
anesthesia anaesthesia	
buddy brother pal sidekick chum	
ability power	inability
wall contend debate fence surround argue fencing	
guessing shot infer suppose approximate imagine hazard guess gauge think	
emcee host	
plate shell scale	
proceeds return payoff wages reward bribe takings take yield issue	
assist help aid	
parlour parlor	
name number listing heel lean inclination list tilt leaning	
commandant commander	
scattered unconnected confused disconnected illogical garbled	connected
brilliance splendour splendor grandeur luster magnificence	
index indicator	
proposition proffer offer suggestion	
generate mother beget father get sire	
release publication emergence consequence outcome emerge number topic takings	recall
blinker flasher	
burly husky welt lather slash strap whip strapping flog beefy	
intoxication poisoning poison	
doggie doggy pooch barker	
lockjaw tetanus	
paralyzed paralytic paralyze	
hook dress pride feather congratulate plumage pluck plume soak rob	
trucking cart hauling haul drag hale	
skill acquisition science accomplishment	
allow hold book reserve appropriate reserved	
repose domicile shack occupy rest reside	
delegation commission mission	
displacement transformation rendering version translation	
hook shear pluck plume soak rob fleece	
quicken renovate resuscitate resurrect revive revived repair recreate animate	
loyal quicker degraded immobile degenerate dissipated fast flying quick	slow
implore pray beg	
rudimentary underlying fundamental	
suction suckle blow breastfeed nurse suck sucking draw absorb	
shot stab jab thrust knife prod twinge poke dig pang	
intimately closely close nearly tight	
out extinct	active
radiation radioactivity	
nose intrude scent pry nozzle wind poke	
frustrate cross thwart thwarted scotch foiled foil spoil frustrated disappointed	
patty cake	
evolution growing growth development exploitation developing	
swing sway persuade carry shake rock	
inept feckless	
recipient receiver	
crybaby chicken wimp	
abandon forsake desert desolate	
rung spoke radius	
faculty module	
variant variation version edition	
loony haywire buggy cracked daft barmy crackers loopy kooky batty	
lender loaner	borrower
make stimulate rush cause hasten have induce get	
absorption density immersion tightness concentration	distribution
price term damage condition terminus terms footing	
scarlet cherry ruddy red vermilion ruby crimson reddish carmine	
store storage storehouse terminal depot terminus	
do execute perform	
intent intention aim objective calculate aspire take get design train	
rout pack mob rabble ring throng gang jam pile family	
font face case	
foursome four quartet iv	
malleable pliable	
vestal virgin virginal pure virtuous	
posture pattern modeled model sit mould pose mold simulate	
stick stay persist detain remain delay appease	change move depart
shop workshop	
blast attack shell blow flack smash clap crucify bam eruption	
authenticity legitimacy	
frustrate blast torment crucify rag savage dun subdue	
episode installment installation instalment installing	
discrimination favoritism	
alluring enchant beguiling enticing fascinate juggle trance capture tempting entrance	
illusionist seer visionary	
nuke microwave zap	
orient tailor oriented point	
darkening darken	brighten lighten
epitome paradigm envision see figure visualize effigy range visualise fancy	
momma mammy ma mommy mama mom mamma mum mummy	
ruffled frilly	
nog stick pin leg peg nail	
contender contention rival challenger competitor contest competition rivalry	cooperation
straight prostrate monotone unconditional flatbed flat matt compressed	natural indirectly
adjourn withdraw recess retire	
threat panic scourge terror brat	
grinning grin smiling smile	
incline qualify minded disposed dispose fain fling inclined tending	disqualify
insurgent guerrilla guerilla irregular	
demonstration reflection manifestation expression	
span range straddle	
yawning yaw yawn gape	
cigarette butt fag	
rematch replay	
mild flabby cushy flaccid voiced diffuse	forte hard hardened loud
affectionately dear dearly	
unimportant insignificant	significant important
shack hut hovel shanty hutch	
make name figure advert mention names cite constitute refer nominate	
slider slipper luger	
ranch spread	
investing investment	
obit obituary	
generate mother beget father fuss get sire	father
pioneer initiate	
representative illustration example instance	
ladder tangle run unravel ravel knot	unravel ravel
sexy aphrodisiac	
chicken yellow	
okay ticket exquisitely finely ok fine alright delicately	coarse
dessert sweet	
bloodsucker leech	
corporate incarnate corporal substantiate embody embodied	
stiff corpse cadaver clay remains	
persistent obsess haunting stalk frequent ghost haunt	
clarifying clarify	
suit turn become get go	
reward vantage advantage	disadvantage penalty
overturn override upset subvert vacate turnover reverse rescind revoke annul	
downfall ruination fall ruin precipitation	rise
interpreter translator	
flourish waving beckon wave curl flap roll	
trick magical charming witching deception illusion magic wizard	
problem job trouble	
duty responsibility obligation tariff	
spot smudge blot defame slander sully smear slur blur stain	
launder laundering wash	
extract evoke express pull elicit	
outlaw illicit outlawed bastard unlawful illegitimate	legitimate
nuance shade niceness refinement subtlety	
harry chevy harass ravage molest beset provoke plague hassle	
lam cream clobber slash slam lick thrash bat toss flail	
wham sock humongous thumping bop whopping wallop bonk bash banging	
toying dally flirtation romance flirting flirt toy play mash butterfly	
scan skim read rake	
sneeze sneezing	
secret undercover underground clandestine	
soot crock smut	
pearl drop bone bead ivory	
north n normality northward newton nitrogen	
equip agree adjustment outfit match go fit check accommodate	disagree
departure release die expiration passing choke perish go expire	enter
amphibian amphibious	
typical distinctive	
meditation speculation	
clank clanking	
hunger crave starve lust thirst	
abstract cabbage mouse sneak slip swipe pinch lift hook creep	
smother stifled stifle smothered suppressed repress strangled suffocate surround strangle	
snitch smoke grass pot weed shit skunk dope pasture denounce	
posterior previous subsequently afterwards afterward tardy after ulterior former	early
gull dupe cod dissipate fritter shoot slang fool	
lead bring bestow add contribute lend give impart	
draw thread string strung	
scour flush level even crimson sluice purge blush	
pitcher mound	
lather welt slash strap whip thrash flog gash lash slashing	
conquer contain hold curb restrict moderate control check bridle suppress	
nitric nitrous	
speculate contemplate study mull ponder meditate reflect muse	
hurry speed zipper zip	unzip
plate home shell scale	
balance remainder equilibrium correspondence residual poise residue symmetry rest	imbalance
disgusting revolting skanky loathsome repellent yucky distasteful foul wicked	
undesirable unwanted unsuitable	desirable
propose counsel notify advise suggest	
wipe hitch itch fray fret scratch snag rub	
acme crest top tip elevation meridian summit height breast pinnacle	
scorn despise disdain	
move suggestion inspire cue motivate remind incite prompting propel instigate	
agile spry quick nimble	
monkey scamp rogue imp rascal knave	
dimension attribute belongings holding prop place property	
aim charter adopt exact deal study learn	give refuse abstain
arranging arrangement recording transcription	
hat lid	
look await expect waiting waitress wait	
stare gaze	
wop dago	
nix nada nought cypher zilch zero nothing cipher aught nil	
blooded blood	
sham bear assuming presume acquire presumptuous adopt wear don assume	
minute hour hr	
speculate contemplate mull ponder meditate reflect muse	
aroma scent bouquet perfume fragrance sweetness	
richly amply high	
amount descend do fall advent number occur come	leave go
revel racket dissonance noise racquet	
unfolding extend unfold blossom open flowering stretch spread	fold
minx vamp flirt tease	
auntie aunt aunty	uncle
persistence continuity	
decorate adorn dump deck floor embellish grace	
cornerstone foot basis groundwork base foundation	
grasp stray swan rove pasture straddle wander run tramp compass	
pester bug badger tease	
morals lesson morality ethics moral	
calf sura	
board gore panel jury	
acquaintance familiarity friend	stranger
attain make off hitting remove dispatch score stumble murder	miss
r spoke radius	
solace ease amenities quilt comforts puff consolation comfort soothe	discomfort
cobbler shoemaker	
bull bruiser	
do come fare	
slush sprinkle squish slop splash spatter splatter squelch splashing	
intended designate mean intend specify signify think	unintended
hakim hakeem	
piggy piglet	
confidential secret	
hunt hound trace	
obstacle obstruction blockage impediment	
momma mammy ma mommy mama mom mamma mum mummy	
k jet thousand yard potassium green thou m kelvin grand	
panther cougar puma painter	
strand filament	
tire bore drill bored	interest
convince change exchange commute convert	
baptise christen baptize	
heartbreak sorrow grieve heartache grief	
celebrated renowned notable illustrious noted famous famed	
barman bartender barkeep	
feasible viable workable	
maths math mathematics	
gumbo okra	
suburb suburbia	
hearsay rumour rumor	
addressed deal handle treat cover plow address speak direct call	
gestation motherhood maternity pregnancy	
jest joking joke	
stick beat puzzle vex gravel pose get teaser amaze	
prowl lurch	
accurate exact take demand claim precise	
banner standard	
cleaver chopper	
paraphrase rephrase	
relative comparative	absolute
regulate rule governess govern order	
dress placed put correct situated located readiness arrange lay	rise
wooly muzzy foggy blurred muddled fuzzy hazy woolly blurry	
dingy raunchy grimy grubby	
decorate adorn deck ornament adorned embellish decorated invest clothe grace	
crumpled set bow hang deflect flex knack twist bended	straighten
sifting sift strain sieve	
faculty module	
armour armor	
card humour brain wit humor wits mentality wag marbles	
sick grisly gruesome macabre ghastly grim	
motorbike motorcycle cycle	
chitchat jaw chattering yak chatter visit blab tattle gossip blabber	
support validate confirm affirm corroborate substantiate sustain	negate
bear assume admit take have accept swallow consent	refuse reject
heading lead direct chief brain headway maneuver	foot rear tail
squatting squat jack shit diddly dumpy chunky crouch stumpy hunker	
soppy hokey sentimental maudlin mushy	
lime linden	
niner nine club	
grate fret scratchy grind rough scrape raspy grating	
elementary uncomplicated childlike mere simple bare	complex compound
exclaim shout weep cry scream holler outcry yell squall	laugh
flue fluke	
beg tap pray begging implore solicit	
founder flop	
fin quint five	
fearful cowardly	brave
degrade demean disgrace	
threatening ill sinister ominous menacing forbidding	
vow consecrate	
loudly forte aloud loud	piano softly
labour push labored laboured toil fag grind strained labor drive	
brain wit mastermind psyche nous mentality genius brainiac head mind	
so indeed	
plunge engulf steep absorb immerse	
cultivate act influence play operate ferment run exercise	malfunction idle
bobble blow ruffle frivolity spoil muff fumble bollocks tease fluff	
tabernacle temple synagogue	
agree hold concord harmonize match accord consort fit concur	disagree
engaged engage reside take invade interest busy occupied absorb	unoccupied
liner lining	
sharp tart tangy prostitute whore harlot	
soap max goop scoop	
remarkably unusually	
momma mammy ma mommy mama mom mamma mum mummy	
woodland wood timber forest woods	
decoration ribbon ornament palm medallion medal	
trap hole gob yap maw	
brain engineer organize mastermind orchestrate genius brainiac organise direct	
defender guardian protector	
pleasurable gratifying enjoyable	
vas vessel	
optic optical ocular visual	
drowsy dozy	
hitch limp limping hobble gimp	
lead forego preface forgo precede premise introduce	succeed follow
linger couch lounge lurk loaf sofa tarry loiter	
substitute subbing sub substituting	
send transport air ship broadcast station transmit charge post sent	
stuff poppycock hooey	
molecule atom particle speck	
hook pluck plume soak rob fleece	
trinket novelty bauble bracelet bangle	
happen pass come hap occur	
up upwards upward	downwards downward down
purchasing purchase buy buying	sell
rubble debris dust junk	
slider slipper luger	
crow bragging crowing gloat brag triumph	
utter express mouth expressed talk uttered emit speak	
semi tackle set swindle outfit manipulate getup rigging cheat carriage	
counteract negate neutralized neutralise liquidate waste neutralize	
phase stage form	
dress snip trot jog crop clip clipping magazine nip prune	
irrigate water	
revolt disgusting repel loathsome revolting skanky disgust repellent yucky distasteful	
drag cart hale haul	
agree hold concord harmonize match accord consort fit concur	disagree
are argon ar	
fireman firefighter	
squint squinting	
removed absent off remove dispatch withdraw remote take hit slay	
precious cunning cute	
badness bad severity	good goodness
weighing deliberation advisement calculation	
mesh interlock interlocking lock engagement	
formulate forge phrase articulate invent develop devise word	
salamander poker	
see involve consider regard view affect reckon	
spot snoop sleuth stag spy sight	
storage remembering memory store retention	
humbug baloney drool tosh bosh	
unwind relax decompress	compress tense
dispatcher starter	
trace decrypt decipher decode	
detonate explode	
dismay alert alarmed alarm	
collection prayer solicitation invoke attract appeal charm	repel
pud pudding	
breathe utter emit	absorb
harmonize chord	
erupt belch burping belching burp bubble	
defeat licking overcome kill frustration	victory
roundabout carousel	
welding weld	
anesthetic anaesthetic	
reconcile bow resign state subject defer render take present submit	
determine decide settle resolve	
chief master captain skipper dominate main superior control primary principal	
canon canyon	
bake baking	
sacrifice forego forgo waive forfeited forfeiture confiscate forfeit	claim
worm twist louse squirm wriggle wrestle writhe insect	
dishonorable dishonest	honest
caribou reindeer	
affect shock touch impact wallop	
minimize minimise	maximize
fiery impassioned ardent torrid fervent	
lexicon vocabulary	
externally outwardly	
manic frantic frenzied	
pagan heathen infidel gentile	
helper help assistant supporter	
dwell live populate inhabit	
centre center focused pore concentrate sharpen rivet focus	unfocused blur
separation interval	
resource resourcefulness imagination	
assimilate ingest absorb	
goofball goof clown buffoon	
overwhelm submerge drown swim	
tender volunteer offer extend provide offering propose proffer bid	
gourmet foodie	
teenager adolescent teen	
belt belting	
hoodlum thug hood punk goon tough	
gloss coloring color colour tinge colouring distort	
bunk guff hogwash rotting rot decompose decomposition waste	
accustomed customary habitual	
similar interchangeable like standardized alike	dissimilar unlike
sophomore soph	
tip tiptoe	
do make stimulate movement lawsuit crusade case cause get suit	
loot lolly cabbage sugar moolah dough shekels clams lollipop dinero	
annihilate reject extinguish eradicate decimate pass eliminate	
cheep chirp peep	
qi ki chi	
restitution amends compensate correct redress indemnity remedy damages right	wrong
imbecile ludicrous preposterous cockeyed ridiculous idiotic absurd nonsensical laughable	
substitution interchange swap switching exchange trade alternate shift change switch	
overweight fleshy heavy	
forwarding promotion forward	
duster sandstorm	
duffle duffel	
dress do stage order set put format arrange	
windshield windscreen	
pain garlic trouble	
speculate contemplate mull ponder meditate reflect muse	
proof validation proofread	
ammo ammunition	
arc glint flicker twinkle light trigger sparkle activate discharge spark	
pretender hypocrite phony phoney	
pound lb	
spotlight highlighting highlight foreground	background
entry enchant charm fascinate entree entering trance capture entrance catch	
slash piece gash cut fade slice slicing slit	
aroused stimulate raise conjure stimulated agitate stirred evoke touch	unmoved
hap bump occur befall happening find occurrence happen chance materialize	
cobweb gossamer	
assert affirm swan aver swear verify say	
lift elevator	
sovereign monarch	
rusting eat rust	
peel skin flake strip undress	dress
roadside wayside	
magnify enlarged enlarge exaggerated magnified exaggerate amplify	reduce
nut freak junkie junky addict	
defining regulate forge work formative shaping influence plastic mould shape	
obelisk dagger sticker	
make realise see recognize recognise clear earn gain understand substantiate	
learned erudite	
sympathetic benevolent harmonic charitable likeable likable kindly appealing	unsympathetic
integrity unity	
send commit institutionalized charge	
program programme plan syllabus broadcast curriculum	
crook outlaw illicit outlawed criminal felon unlawful illegitimate lawless	legalize
equal match peer	
poke monotone drone trailer droning	
poultry fowl bird	
law constabulary jurisprudence police	
carefully cautiously	carelessly
shaky perilous unstable precarious	
dwell consist comprise lie	
garland coronal wreath lei	
hubbub uproar	
blare honk toot beep	
cop copper snitch bull pig fuzz nab arrest nail apprehend	
hunger crave starve lust thirst	feed
supplying provisions supply planning preparation provision	
louse worm insect	
snail escargot	
carver cutlery tender cutter	
graph chart	
raise grow farm produce	
behavior dress come execute act cause arrange perform do answer	
volunteer offer	
sovereign monarch	
fauna brutish wildcat beastly beast brutal bestial savage animal wolf	
mountain raft tummy pot deal peck gage plenty jackpot sight	
lam beat bunk run escape scat	
dab swab	
bubble ripple babble	
bring bestow sum add contribute lend tot impart total	subtract
stick lodge fix bank deposit wedge	withdraw dislodge
candle cd	
twisting twirl twiddle swirl twist kink spin whirl	
allow ply render offer cater provide furnish leave supply	
fish angle	
excuse explain	
worsen fall decay correct refuse slump	improvement better accept ascent
television picture video	
turnaround reverse reversal	
teach instruct learn	
orb world earth globe ball	
swing sway carry persuade shake tilt rock	
shack hut hovel shanty hutch	
symphony philharmonic	
scan skim graze rake crease	
dump dive launch plunge dip steep engulf absorb dunk douse	
dabble spank paddle waddle	
fundamentals bedrock basic basics staple	
disappointing disappoint	
apologize pardon relieve exempt justify excuse apologise rationalize excused condone	
veil hide obliterated obscure kill obliterate	
commencement graduation	
idolize adoration revere worship	
tone fortify strengthen	weaken
lasagne lasagna	
press matter weigh count consider	
support financing fund backing funding	
jiggle wiggle	
docker loader	
delivery economy relieve deliver save salve write redeem keep saving	
puke stray put swan rove drop couch wander tramp draw	
cop leash pinch apprehension nab arrest apprehend choker nail catch	
fugitive romp runaway blowout	
optics eye optic	
force ram repel aim labour push repulse take motor	attract
chip microchip	
rescuer saver	
spotlight highlight foreground	background
same like ilk alike comparable corresponding similar care	dislike unlike
pusher thruster	
tangle couple teammate match felt matte checkmate mate fellow pair	
mile mil knot mi	
exclaim glorify proclaim	
sucker lolly popsicle lollipop	
bring bestow add contribute lend impart loan	borrow
arsehole shit motherfucker bastard asshole arse prick	
endanger jeopardise peril menace threaten jeopardize	
automaton zombie	
chuck dump trench ditch	
hoist lift wind	
lurk ambush	
familial transmitted hereditary genetic ancestral inherited	
chump gull sucker lollipop mug patsy mark fool	
break fracture fault shift cracking crack	
digger excavator shovel	
fibre fiber character	
conquer quash hushed reduce master curb dim quiet soft crucify	
sine sin	
analyze canvas study canvass analyse dissect examine	synthesize
run ravel unravel untangle	ravel knot
compliment congratulate compliments regard wish	
recoil reduce contract shrivel cringe shrink wither quail	stretch expand
circle cockroach roach rope	
influenza flu	
hold maintain represent guard oppose defend fight defending	prosecute attack
prodigy bode omen foretell predict forecast augur	
aggravate worsen exasperated incense	better
trot jog clip crib lope pony	
pink knock ping	
mild modest tame meek	
caress fondle	
adulterer grownup grown big pornographic adult	
dice die break perish expire go croak conk pall pass	
emotional aroused excited	cerebral
feasible viable workable	
press loo wardrobe cupboard closet	
pun wordplay	
submerged overwhelm submerge underwater drown deluge	
settle place site locate	
spooky nervous skittish flighty	
copy imitate replicate transcript simulate	
arc fore bow bowing defer bend crouch stem submit stoop	
exaggerate magnify amplify	
nightclub order lodge guild club clubhouse cabaret nine bludgeon society	
intestine bowel gut	
puke sick gag barf vomit heave honk cast chuck purge	
sharpness edge bite	softness
recast remodel	
rejoin repay retort return	
halo sinker donut ring doughnut	
housemaid maiden maid	
humour irritation humor season moderate mood irritability harden toughness temper	
irritating annoying pestering teasing vexing pesky bothersome	
vouch guarantee	
structured structure integrated	
inhumanity atrocity	
civic civil	
confuse fox confound lost confounded baffled bewildered confused throw	
feller lumberjack	
slaw coleslaw	
own ain	
entrap anatomy soma figure put framing couch compose flesh physique	
speed run hasten hie rush racing race	linger
conglomerate empire	
penis phallus member	
surprisingly astonishingly amazingly	
bogey bogie	
pinkie pinky	
amenities comforts conveniences	
abhor loathe	
paper wallpaper	
press movement agitate push crusade cause drive fight effort campaign	
stick tie bail shackle bond attach adhere bind alliance hamper	
desired starve craved lust hunger crave thirst	
schoolmate classmate	
herald trumpeter	
cue hint clue	
hector bully bullying intimidation swagger	
attraction magnet	
flipper fin quint five louvre	
manner way mood style mode fashion	
coil curling curled kink curve loop curl wave	
hack chop chopper	
sum aggregate combine mass totality total	
concede pretend professed profess confess	
counteract subvert undermine cave sabotage weaken	
initiation induction trigger activate spark trip	
story fib tale	
divorce divorced	
sceptical questioning doubting skeptical	
organization system agreement arrangement arranging placement organisation transcription	
everlasting perfect utter stark complete unadulterated masterful consummate pure staring	
preface precede inaugurate enter insert innovate premise present enclose introduce	
radiating diversify glow ray beam radiate shine	
engineer prepare mastermind coordinate orchestrate devise organize organise direct form	
utility usefulness	
jovial merry gay jolly	
fascinate scheme intrigue	
skinny scrawny boney bony	boneless
adopt embrace bosom cover hug squeeze comprehend	
toss dispose discard fling splurge	
worsening impairment deterioration	
streetcar tram trolley	
compression condensation contraction compressing	decompression
reminder monitor	
abattoir shambles butchery slaughterhouse	
economical scotch sparing frugal	
sweetheart smasher stunner dish talk lulu knockout blab looker babble	
udder bag	
woolen wool fleece	
smooch spoonful spoon	
jerk yank	
ledger book	
reassess reevaluate	
stillness silence quiet still hush quieten	
strip cleaning pick cleanup clean scavenge cleansing cleanse	dirty
mean intend substance imply signify meaning significant significance think import	
cop copper bull pig fuzz hair blur	
ratio proportion	
perilous precarious	
engineer prepare mastermind coordinate orchestrate devise organize organise direct form	
office bureau authority agency chest dresser	
con see acquire ascertain memorize study learn read instruct take	
intensify heighten deepen combine compound	
flower bloom blossom floral flowered	
grouch crank grump	
uncommon rare	
make pee puddle wee urinate piss	
outburst gush effusion	
gilded deluxe luxurious princely opulent sumptuous grand	
nitric nitrous	
award present grant	
bookstore bookshop	
blindfolded blindfold	
dimension symmetry ratio proportion balance	
rout pack mob rabble ring throng gang jam pile family	
strive attempt enterprise endeavor try effort endeavour	
bear brook tolerate suffer endure digest concentrate stomach stand condense	
pattern convention normal rule convening formula	
bait twit mount rally cod rag ride sit drive	walk
rap smash roast bump belt tap knock criticize knocking	praise
roar holler bellow holla bellowing hollering roaring	
ill sickly seedy badly poorly unwell ailing peaked	well
atone repent	
mask camouflage disguise	
bacterium bacteria	
tempt lure entice	
harbor hold haven shield nurse entertain seaport harbour	
acknowledgment credit mention quotation quote reference citation cite	
attack snipe dishonour dishonor outrage ravish assault rape violate round	
attain make hit gain strike achieve reach discover accomplish	
arsonist incendiary	
wilful willful headstrong	
frontal facade	
whet quicken	
heaviness thickness	lightness
crease kris	
overtake consuming overpowering submerge overwhelm drown overcome deluge overpower overwhelming	
slow retard slack	accelerate
brute bestial beastly brutish brutal	
semen amount descend do seed fall number occur	leave go
pose portray impersonate	
defender guardian protector	
commission committee	
divinity theology	
nought nix nada code figure cypher zilch zero nobody calculate	
union marriage wedlock matrimony	
appetizer starter	
pointer arrow	
puzzle tormentor teaser tease	
mash crush squash squelch squeeze	
fixer methadone	
motor centrifugal	
sick grisly gruesome macabre ghastly grim	
mole jetty mol groin	
lien spleen	
berg iceberg	
modeling shape work forge model mildew mould cast stamp mold	
endanger threat jeopardise peril menace threaten jeopardize	
pamper baby indulge spoil cocker coddle	
weeny teensy wee teeny bitty	
pel pixel	
various respective several	
dog chase tail tag furrow trail track	
remake redo reconstruct remodel	
pulse caprice pulsing impetus momentum impulse whim urge	
constituent element factor component ingredient	
stuffy close	
raising rampant raise breeding fostering rear rise erect nurture	level
animus animosity	
caterpillar cat	
bush shrub	
flare panache dash flair style genius	
lather stew erode grate fray fret gag scratch rub gall	
intent intention aim use propose determination design purpose function role	
facilitate help ease alleviate	
hurt detriment	
artificial hokey unreal contrived	natural
write relieve deliver save salve keep salvage spare preserve redeem	
raging savage wild waste unfounded godforsaken untamed idle barbarian	tame
confuse trick dodger fox fob confound throw	
sentinel scout sentry finder lookout spotter watch picket	
stone gemstone muffin jewel gem treasure	
loot strip peel striptease slip leach foray undress bare	dress
force blackmail coerce blackjack pressure hale squeeze	
recoil complain plain kick	cheer
kt karat carat	
abdomen stomach belly	
nurse suck suckle breastfeed	
shout shouting cry scream holler yelling yell squall call	
vault hurdle	
ram clang smash clank crash clash collapse dash doss wreck	
applaud acclaim spat clap	boo
receive mother aim generate puzzle incur come start	leave end
leaflet folder pamphlet booklet brochure	
retrace reconstruct redo rebuild restore construct remodel	
mild flabby cushy flaccid voiced diffuse	forte hard hardened loud
overheating overheat	
insulate isolate	
recognisable recognizable	
skillful proficient skilful practiced adept good expert	
handler manager coach	
tragedy catastrophe cataclysm disaster calamity	
hideaway lair den hideout	
faker fraud imposter pretender pseudo fake sham impostor	
enlightenment nirvana	
sketch toon cartoon	
supporter patron sponsor	
politician pol	
jacket crown cap	
jostle thrust squeeze shove stuff	
sitter babysitter	
ploy dodge gambit stratagem	
penetrate aurora daybreak sunup dawn sunrise dawning morning click	sunset
maze labyrinth snarl tangle	
regent trustee	
sex gender sexuality	
cheesy punk sleazy cheap tinny bum crummy	
succeeding next hereafter future	past
orchestration instrumentation	
salvage clean scavenge	
turkey dud bomb flunk bombard fail	pass
make retrace fabricate reconstruct manufacture construct build	
horrific awesome atrocious frightfully tremendous dire terribly unspeakable frightful	nice
hunger crave starve lust thirst	
misunderstand misinterpret misread	
recoil reduce contract shrivel cringe shrink wither quail	stretch expand
upset interference ruffle fray flutter commotion noise disruption disturbance	
bottom penetrate bed rump stern fanny tush ass	side top
revolutionary subversive	
fix mend restore repair doctor doc bushel physician	break
nose weave winded wander scent wrap twist curve blown	unwind
